__domain,feature,mean,std,median
congress_politics_2026_lines_100,simp_verb_var,0.7114400000000001,0.3850357800506233,0.92
congress_politics_2026_lines_100,simp_space_var,0.0,0.0,0.0
congress_politics_2026_lines_100,root_adj_var,1.62596,1.5444218094991295,1.414
congress_politics_2026_lines_100,root_adp_var,1.4620900000000001,0.6454563978419856,1.5975000000000001
congress_politics_2026_lines_100,root_adv_var,0.74869,1.1210328543379318,0.0
congress_politics_2026_lines_100,root_aux_var,0.73,0.5310972252104719,1.0
congress_politics_2026_lines_100,root_cconj_var,0.42253999999999997,0.38018951733432776,0.447
congress_politics_2026_lines_100,root_det_var,0.8107099999999999,0.4384939628484586,0.878
congress_politics_2026_lines_100,root_intj_var,0.032850000000000004,0.1902231743521437,0.0
congress_politics_2026_lines_100,root_noun_var,3.05828,2.062112607414194,2.449
congress_politics_2026_lines_100,root_num_var,1.3232300000000001,1.3810646373085667,1.0
congress_politics_2026_lines_100,root_part_var,0.51538,0.4917969479163101,0.577
congress_politics_2026_lines_100,root_pron_var,0.6692400000000001,0.7043484433836491,0.8945000000000001
congress_politics_2026_lines_100,root_propn_var,3.01038,1.80076218868623,2.646
congress_politics_2026_lines_100,root_punct_var,1.07819,0.47413708316937586,1.0
congress_politics_2026_lines_100,root_sconj_var,0.28457,0.5653143088387006,0.0
congress_politics_2026_lines_100,root_sym_var,0.10965,0.30013308075188266,0.0
congress_politics_2026_lines_100,root_verb_var,2.06347,1.7213456120903279,1.732
congress_politics_2026_lines_100,root_space_var,0.0,0.0,0.0
congress_politics_2026_lines_100,corr_adj_var,1.14975,1.0921037096476973,1.0
congress_politics_2026_lines_100,corr_adp_var,1.03384,0.45642067517507645,1.1295
congress_politics_2026_lines_100,corr_adv_var,0.5294,0.7926959751953514,0.0
congress_politics_2026_lines_100,corr_aux_var,0.51615,0.3755293200297684,0.707
congress_politics_2026_lines_100,corr_cconj_var,0.29875999999999997,0.2688169036291574,0.316
congress_politics_2026_lines_100,corr_det_var,0.57321,0.3100428870627123,0.6205
congress_politics_2026_lines_100,corr_intj_var,0.02323,0.13451655712741883,0.0
congress_politics_2026_lines_100,corr_noun_var,2.16253,1.4581206006224576,1.732
congress_politics_2026_lines_100,corr_num_var,0.93566,0.9765324886628921,0.707
congress_politics_2026_lines_100,corr_part_var,0.36441,0.34772917288713023,0.408
congress_politics_2026_lines_100,corr_pron_var,0.47318,0.498011792079771,0.6325000000000001
congress_politics_2026_lines_100,corr_propn_var,2.12871,1.2733447032254555,1.871
congress_politics_2026_lines_100,corr_punct_var,0.76237,0.3353073263907502,0.707
congress_politics_2026_lines_100,corr_sconj_var,0.20121,0.3997132379922669,0.0
congress_politics_2026_lines_100,corr_sym_var,0.07751999999999999,0.21218818977216394,0.0
congress_politics_2026_lines_100,corr_verb_var,1.45908,1.217165449275114,1.225
congress_politics_2026_lines_100,corr_space_var,0.0,0.0,0.0
congress_politics_2026_lines_100,t_word,285.79,957.0025837757885,52.5
congress_politics_2026_lines_100,t_stopword,114.37,417.52490169492114,16.0
