Fold,AUC,McFadden_R2,Nagelkerke_R2,Best_C,Best_L1_Ratio
1,0.65362566,0.05373660193089458,0.03173770275134805,0.27527173929429377,0.94
2,0.6579832825,0.058063830563782726,0.034293433689905374,0.27527173929429377,0.94
3,0.658991415,0.058124430414972506,0.034329224938230124,0.27527173929429377,0.94
4,0.6568224625,0.05486754720454923,0.03240565724853514,0.27527173929429377,0.94
5,0.6545303250000001,0.05516884747138617,0.032583610039820125,0.27527173929429377,0.94
