,arxiv,hh_stories,politics,qwen_advisor,qwen_journalist,qwen_writer,wp_stories,wsj
t_word,155.01,82.65,285.79,398.2,422.4,389.5,613.4,554.47
t_stopword,58.83,40.95,114.37,159.15,172.25,160.65,286.1,204.43
t_punct,17.35,7.4,41.44,62.7,66.75,62.65,96.38,75.12
t_uword,86.76,50.2,85.64,164.75,172.6,168.25,228.3,226.38
t_sent,5.59,6.1,11.54,20.1,20.5,19.45,40.24,21.66
t_char,738.35,326.6,1234.99,1601.85,1641.55,1499.65,2219.21,2407.33
t_stopword_pw,0.3795239016837624,0.4954627949183303,0.400188949928269,0.39967353088900054,0.4077888257575758,0.4124518613607189,0.4664166938376264,0.36869442891409815
t_punct_pw,0.11192826269272951,0.08953418027828192,0.14500157458273555,0.15745856353591162,0.15802556818181818,0.16084724005134787,0.15712422562764916,0.1354807293451404
t_uword_pw,0.5597058254306174,0.6073805202661827,0.2996605899436649,0.41373681567051734,0.40861742424242425,0.4319640564826701,0.3721878056732964,0.40828178260320663
t_sent_pw,0.03606218953615896,0.07380520266182697,0.0403792994856363,0.05047714716223004,0.048532196969696975,0.04993581514762516,0.06560156504727747,0.039064331704149906
t_char_pw,4.763241081220567,3.951603145795523,4.321319850239687,4.0227272727272725,3.886245265151515,3.850192554557125,3.6178839256602546,4.341677638104857
